Nome da rede,Acuracia,Camadas,neuronios,learning_rate,momentum
C2N8L5M5,0.7037037014961243,2,8,0.5,0.5
C2N8L5M6,0.6481481194496155,2,8,0.5,0.6
C2N8L5M7,0.6481481194496155,2,8,0.5,0.7
C2N8L6M3,0.6913580298423767,2,8,0.6,0.3
C2N8L6M4,0.6481481194496155,2,8,0.6,0.4
C2N8L6M5,0.6419752836227417,2,8,0.6,0.5
C2N8L6M6,0.6481481194496155,2,8,0.6,0.6
C2N8L6M7,0.6481481194496155,2,8,0.6,0.7
C2N8L7M3,0.6481481194496155,2,8,0.7,0.3
C2N8L7M4,0.6481481194496155,2,8,0.7,0.4
C2N8L7M5,0.6481481194496155,2,8,0.7,0.5
C2N8L7M6,0.6481481194496155,2,8,0.7,0.6
C2N8L7M7,0.6481481194496155,2,8,0.7,0.7
C2N16L3M3,0.709876537322998,2,16,0.3,0.3
C2N16L3M4,0.6790123581886292,2,16,0.3,0.4
C2N16L3M5,0.7160493731498718,2,16,0.3,0.5
C2N16L3M6,0.6481481194496155,2,16,0.3,0.6
C2N16L3M7,0.6481481194496155,2,16,0.3,0.7
C2N16L4M3,0.654321014881134,2,16,0.4,0.3
C2N16L4M4,0.6481481194496155,2,16,0.4,0.4
C2N16L4M5,0.6604938507080078,2,16,0.4,0.5
C2N16L4M6,0.7160493731498718,2,16,0.4,0.6
C2N16L4M7,0.6296296119689941,2,16,0.4,0.7
C2N16L5M3,0.6481481194496155,2,16,0.5,0.3
C2N16L5M4,0.7037037014961243,2,16,0.5,0.4
C2N16L5M5,0.6481481194496155,2,16,0.5,0.5
C2N16L5M6,0.6481481194496155,2,16,0.5,0.6
C2N16L5M7,0.7222222089767456,2,16,0.5,0.7
C2N16L6M3,0.6728395223617554,2,16,0.6,0.3
C2N16L6M4,0.4135802388191223,2,16,0.6,0.4
C2N16L6M5,0.7037037014961243,2,16,0.6,0.5
C2N16L6M6,0.6234567761421204,2,16,0.6,0.6
C2N16L6M7,0.5802469253540039,2,16,0.6,0.7
C2N16L7M3,0.6728395223617554,2,16,0.7,0.3
C2N16L7M4,0.6481481194496155,2,16,0.7,0.4
C2N16L7M5,0.7160493731498718,2,16,0.7,0.5
C2N16L7M6,0.3888888955116272,2,16,0.7,0.6
C2N16L7M7,0.6481481194496155,2,16,0.7,0.7
C2N32L3M3,0.6358024477958679,2,32,0.3,0.3
C2N32L3M4,0.6481481194496155,2,32,0.3,0.4
C2N32L3M5,0.6728395223617554,2,32,0.3,0.5
C2N32L3M6,0.43209877610206604,2,32,0.3,0.6
C2N32L3M7,0.6481481194496155,2,32,0.3,0.7
C2N32L4M3,0.709876537322998,2,32,0.4,0.3
C2N32L4M4,0.7037037014961243,2,32,0.4,0.4
C2N32L4M5,0.5679012537002563,2,32,0.4,0.5
C2N32L4M6,0.7345678806304932,2,32,0.4,0.6
C2N32L4M7,0.6481481194496155,2,32,0.4,0.7
C2N32L5M3,0.6481481194496155,2,32,0.5,0.3
C2N32L5M4,0.6481481194496155,2,32,0.5,0.4
C2N32L5M5,0.5246913433074951,2,32,0.5,0.5
C2N32L5M6,0.709876537322998,2,32,0.5,0.6
C2N32L5M7,0.6975308656692505,2,32,0.5,0.7
C2N32L6M3,0.6481481194496155,2,32,0.6,0.3
